entity,entity_type
aalꝼr,PER
ꜳn,PER
ai,PER
ai,PER
alþioꝼr,PER
aſk,PER
Auruangr,PER
auſtri,PER
baꝼvʀ,PER
ballꝺꝛ,PER
ballꝺꝛ,PER
belia,PER
Biꝼvʀ,PER
billꝺꝛ,PER
billingr,PER
bǫmbuʀ,PER
boꝛſ,PER
bꝛuni,PER
buri,PER
byleſtz,PER
ꝺainn,PER
ꝺáinn,PER
ꝺolgþraſer,PER
ꝺꝛauꝼner,PER
ꝺualinn,PER
ꝺualinſ,PER
ꝺurinn,PER
ꝺurinn,PER
eikin ſkiallꝺi,PER
eikinſkiallꝺi,PER
emblv,PER
erðanꝺi,PER
ꝼenriſ,PER
ꝼialaʀ,PER
Fili,PER
ꝼili,PER
ꝼimbultyſ,PER
ꝼoꝛnbogi,PER
ꝼreg,PER
ꝼriggiar,PER
ꝼroꝛ,PER
ꝼunnꝺin,PER
ganꝺ alꝼr,PER
garmr,PER
garmr,PER
garmr,PER
garmr,PER
garmr,PER
gimle,LOC
gloinn,PER
gnipa,LOC
gnipa helli,LOC
gnipa helli,LOC
gnipa helli,LOC
gnupahelli,LOC
gullin kambi,PER
gullueig,PER
hꜳr,PER
hꜳrſ,PER
hanaʀ,PER
haugſpoꝛi,PER
heꝼti,PER
Heiði,PER
heimꝺallar,PER
heimꝺallar,PER
heimꝺallr,PER
heliar,PER
hener,PER
hęner,PER
heria ꝼǫðꝛſ,PER
hlevargr,PER
hlinar,PER
hǫðꝛ,PER
Hrymr,PER
iari,PER
iðavelli,LOC
iǫꝛmunganꝺꝛ,PER
iǫꝛv valla,LOC
iǫtun heimr,LOC
kili,PER
litr,PER
loðuʀ,PER
loꝼarſ,PER
loꝼarſ,PER
loki,PER
loni,PER
mimſ,PER
mimſ,PER
miǫðvitner,PER
moðſogner,PER
mvſpellz,LOC
naar,PER
nꜳr,PER
nainn,PER
nainn,PER
nali,PER
naſtronꝺum,LOC
nið hǫggr,PER
niðhoggr,PER
niði,PER
nipingr,PER
nipingr,PER
noꝛðꝛi,PER
noꝛi,PER
Nyi,PER
nyr,PER
nyrꜳðꝛ,PER
oðinn,PER
oðinn,PER
oðinn,PER
oðinn,PER
oðinſ,PER
onaʀ,PER
rꜳðſviðꝛ,PER
reginn,PER
ſalar ſteini,LOC
ſkaꝼiðꝛ,PER
ſkirꝼer,PER
ſkullꝺ,PER
ſuðꝛi,PER
ſuiꝺʀ,PER
ſurti,PER
ſurtr,PER
ualꝼǫðꝛſ,PER
ueggr,PER
uinꝺꜳlꝼr,PER
uirver,PER
urð,PER
veſtri,PER
viðarſ,PER
vitr,PER
vrðar,PER
ygſ,PER
ymer,PER
yngvi,PER
þoꝛinn,PER
Þoꝛr,PER
þrainn,PER
þrar,PER
þroꝛ,PER
