entity,entity_type
guð,PER
aꝺam,PER
euo,PER
noa,PER
noa,PER
noe,PER
cham,PER
iapheth,PER
sém,PER
cham,PER
ſemſ,PER
zoꝛoaſtres,PER
babilon,LOC
zoroaſtres,PER
bꜳl,PER
bel,PER
aꝼꝼrika,LOC
europa,LOC
enea,LOC
aſía,LOC
troía,LOC
tẏrklanꝺ,LOC
priamum,PER
uoꝺen,PER
priamus,PER
ſaturno,PER
ſaturnus,PER
grikklanꝺz haꝼi,LOC
krit,LOC
zoꝛoaſtre,PER
ſaturnus,PER
grikklanꝺz,LOC
krít,LOC
Juna,PER
arguluſ,PER
iupiter,PER
neptunus,PER
plutus,PER
iupiter,PER
iupiter,PER
þoꝛ,PER
krítt,LOC
iupiter,PER
neptuno,PER
pluto,PER
ſerberum,PER
ſerberum,PER
erkulum,PER
ſaturnus,PER
Jupiter,PER
venerem,PER
venus,PER
ſaturnus,PER
iupiter,PER
krít,LOC
italia,LOC
ſaturnus,PER
nioꝛð,PER
iupiter,PER
Jupiter,PER
ꝺarꝺanus,PER
heríkon,PER
lameꝺon,PER
priamí,PER
Priamus,PER
ektoꝛ,PER
roma,LOC
pompeius,PER
oðinn,PER
aſia,LOC
priamum,PER
oðín,PER
ꝼrigg,PER
ꝼrigia,PER
oðinn,PER
troio,LOC
munon,PER
mennon,PER
priamí,PER
troan,PER
troꝛ,PER
þoꝛ,PER
tracía,LOC
loꝛicus,PER
loꝛícus,PER
loꝛa,PER
gloꝛa,PER
tracía,LOC
þꝛuðheím,LOC
ſibil,PER
ſiꝼ,PER
ſiꝼíar,PER
loꝛiꝺe,PER
henreꝺe,PER
vingeþorꝛ,PER
vingener,PER
moꝺa,PER
Magí,PER
ceſpheth,PER
beꝺvíg,PER
athra,PER
annan,PER
ítrmann,PER
heremoð,PER
ſkallꝺunn,PER
ſkiǫllꝺ,PER
biaꝼ,PER
bíar,PER
iat,PER
guðolꝼ,PER
ꝼinn,PER
ꝼriallaꝼ,PER
ꝼriðleiꝼ,PER
voꝺen,PER
oðen,PER
ꝼrigiða,PER
ꝼrigg,PER
Oðenn,PER
tẏrklanꝺi,LOC
Saxlanꝺ,LOC
oðinn,PER
oðenn,PER
veggꝺeg,PER
auſtr ſaxa lanꝺi,LOC
vitrgilſ,PER
picta,PER
heíngeſtz,PER
ſiga&rscapdot;,PER
ſvebꝺeg,PER
ſvipꝺag,PER
oðenſ,PER
bellꝺeg,PER
ballꝺꝛ,PER
veſt ꝼal,LOC
bꝛanꝺꝛ,PER
ꝼrioðigar,PER
ꝼroða,PER
ꝼreovín,PER
ẏvi&gscapdot;,PER
gevíſ,PER
gave,PER
oðenſ,PER
ſigí,PER
ʀerer,PER
ꝼracklanꝺ,LOC
uǫlſungar,PER
oðenn,PER
reiðgota lanꝺ,LOC
ſkiollꝺꝛ,PER
ꝼriðleiꝼr,PER
ſkiollꝺungar,PER
iotlanꝺ,LOC
reiðgota lanꝺ,LOC
ſviþioð,LOC
gẏlꝼi,PER
æser,PER
oðinn,PER
oðní,PER
ſigtun,LOC
níoꝛðꝛ,PER
nioꝛðꝛ,PER
oðinn,PER
troío,LOC
troío,LOC
noꝛegr,LOC
ſæmingr,PER
halæẏgia talí,LOC
oðenn,PER
ẏngvi,PER
ſviþioðu,LOC
ẏnglingar,PER
ſaxlanꝺ,LOC
noꝛeg,LOC
ſviþioð,LOC
